,u,i,ts,label,idx
0,1143,15815,0.0,0.0,1
1,2371,15816,220.347,0.0,2
2,4706,14942,236.327,0.0,3
3,9807,11515,248.113,0.0,4
4,8437,16301,317.667,0.0,5
5,5512,13580,359.81,0.0,6
6,4221,12528,377.517,0.0,7
7,6568,16134,411.017,0.0,8
8,2811,17031,412.583,0.0,9
9,6338,14920,416.347,0.0,10
10,6089,12529,460.337,0.0,11
11,660,15428,511.843,0.0,12
12,3335,11358,513.793,0.0,13
13,8859,10810,525.487,0.0,14
14,9098,16892,526.713,0.0,15
15,9098,11362,584.917,0.0,16
16,8994,10443,614.93,0.0,17
17,660,15451,647.413,0.0,18
18,9098,11359,732.123,0.0,19
19,1269,11418,734.237,0.0,20
20,9098,16134,749.613,0.0,21
21,4559,10450,950.183,0.0,22
22,3245,12289,962.127,0.0,23
23,2555,10940,1027.027,0.0,24
24,6437,15397,1031.12,0.0,25
25,8859,12574,1080.487,0.0,26
26,2321,14734,1195.88,0.0,27
27,7984,11354,1210.453,0.0,28
28,1729,12287,1214.523,0.0,29
29,6089,10514,1266.337,0.0,30
30,7230,12091,1267.897,0.0,31
31,8871,13699,1312.163,0.0,32
32,4859,11922,1381.113,0.0,33
33,9574,17159,1397.127,0.0,34
34,6290,12014,1430.08,0.0,35
35,7845,10819,1513.407,0.0,36
36,7225,12256,1552.957,0.0,37
37,8231,12586,1586.86,0.0,38
38,8231,13082,1646.117,0.0,39
39,2215,12340,1651.703,0.0,40
40,1666,12256,1658.86,0.0,41
41,4686,11212,1690.443,0.0,42
42,8875,13353,1700.603,0.0,43
43,702,15816,1854.03,0.0,44
44,2175,10953,1877.407,0.0,45
45,1729,10089,2023.02,0.0,46
46,702,11498,2027.987,0.0,47
47,957,17159,2135.22,0.0,48
48,4950,10443,2145.457,0.0,49
49,3538,11894,2198.007,0.0,50
50,2389,11200,2218.01,0.0,51
51,8012,13577,2285.983,0.0,52
52,5539,15537,2340.053,0.0,53
53,1729,12652,2356.257,0.0,54
54,8200,14841,2419.41,0.0,55
55,957,11052,2425.737,0.0,56
56,2175,14131,2624.163,0.0,57
57,4000,16298,2671.56,0.0,58
58,7191,11760,2752.85,0.0,59
59,3190,14824,2790.24,0.0,60
60,1269,10978,2801.573,0.0,61
61,6054,16195,2822.343,0.0,62
62,9005,17506,2872.92,0.0,63
63,2085,11290,2912.86,0.0,64
64,8090,12454,2937.54,0.0,65
65,2175,16866,2970.567,0.0,66
66,1269,14527,2987.29,0.0,67
67,8926,14835,3067.627,0.0,68
68,1269,14516,3075.847,0.0,69
69,7706,10012,3123.633,0.0,70
70,8090,16601,3148.26,0.0,71
71,1269,14524,3199.393,0.0,72
72,9024,12319,3225.547,0.0,73
73,660,15457,3269.67,0.0,74
74,6570,17836,3332.637,0.0,75
75,6551,14751,3362.053,0.0,76
76,4141,15674,3402.037,0.0,77
77,6290,12014,3441.277,0.0,78
78,9455,17083,3450.563,0.0,79
79,4141,15673,3479.833,0.0,80
80,1835,16892,3504.853,0.0,81
81,4141,14603,3611.7,0.0,82
82,1835,14331,3648.657,0.0,83
83,4940,11251,3768.69,0.0,84
84,366,10923,3770.347,0.0,85
85,8898,16544,3805.957,0.0,86
86,4776,17699,3931.867,0.0,87
87,6092,13309,3936.68,0.0,88
88,4141,12897,4036.23,0.0,89
89,8898,15164,4039.457,0.0,90
90,2028,15740,4102.71,0.0,91
91,2685,11771,4113.973,0.0,92
92,130,12847,4116.2,0.0,93
93,4326,13837,4172.24,0.0,94
94,1369,13265,4186.457,0.0,95
95,6558,17069,4189.003,0.0,96
96,2685,17779,4240.973,0.0,97
97,2393,13309,4244.88,0.0,98
98,5265,10958,4288.46,0.0,99
99,2371,12014,4317.65,0.0,100
100,9730,14214,4355.27,0.0,101
101,3953,17028,4429.557,0.0,102
102,7169,13260,4437.527,0.0,103
103,8233,17312,4507.953,0.0,104
104,9730,13633,4538.213,0.0,105
105,4326,12761,4567.217,0.0,106
106,8233,10951,4569.15,0.0,107
107,2233,10508,4656.84,0.0,108
108,6585,12564,4664.81,0.0,109
109,6558,12729,4730.103,0.0,110
110,9730,14030,4754.583,0.0,111
111,7184,17083,4778.393,0.0,112
112,3938,12326,4827.853,0.0,113
113,1192,15673,4867.87,0.0,114
114,6947,15073,4923.847,0.0,115
115,1772,11782,4929.067,0.0,116
116,2685,16019,4985.79,0.0,117
117,1695,11378,5051.367,0.0,118
118,5559,12316,5101.06,0.0,119
119,9550,14416,5154.997,0.0,120
120,9550,10496,5189.797,0.0,121
121,9770,14403,5320.0,0.0,122
122,4754,15319,5404.63,0.0,123
123,429,14180,5405.803,0.0,124
124,3637,11445,5569.853,0.0,125
125,3929,16082,5579.153,0.0,126
126,3938,16544,5660.797,0.0,127
127,9418,15674,5710.2,0.0,128
128,2635,10559,5718.403,0.0,129
129,8691,14405,5748.8,0.0,130
130,9770,15492,5934.443,0.0,131
131,9770,16856,6008.607,0.0,132
